       Document_No  Dominant_Topic  Topic_Perc_Contrib                                           Keywords                                               Text
2774          2774            13.0              0.1430  acut, renal, patient, failur, chronic, hepat, ...  exacerb of the heart failur were tempor relat ...
2775          2775            13.0              0.1412  acut, renal, patient, failur, chronic, hepat, ...  exacerb of the heart failur were tempor relat ...
2776          2776             8.0              0.1066  caus, possibl, conclus, complic, rare, suggest...  the pathogen mechan involv in the develop of a...
2777          2777             4.0              0.0776  treatment, thi, corticosteroid, side_effect, s...  cardiac hypersensit and myopericard have been ...
2778          2778             4.0              0.0738  treatment, thi, corticosteroid, side_effect, s...  cardiac hypersensit and myopericard have been ...
2779          2779            11.0              0.0913  case, report, thi, describ, present, previous,...  we report the case of a man treat with mesalaz...
2780          2780            13.0              0.0784  acut, renal, patient, failur, chronic, hepat, ...             acut drug induc hepat due to erlotinib
2781          2781            18.0              0.1017  patient, therapi, chemotherapi, treat, progres...  case report we report a case of acut sever hep...
2782          2782             8.0              0.0865  caus, possibl, conclus, complic, rare, suggest...  conclus acut sever hepat though rare is occasi...
2783          2783             8.0              0.0847  caus, possibl, conclus, complic, rare, suggest...  conclus acut sever hepat though rare is occasi...
2784          2784            19.0              0.1064  level, improv, normal, increas, serum, increa,...  hepatotox resolv onc erlotinib wa discontinu a...
2785          2785             2.0              0.0984  pain, inject, complet, complic, success, surge...  heparinassoci thrombocytopenia and thrombosi i...
2786          2786             2.0              0.1043  pain, inject, complet, complic, success, surge...  heparinassoci thrombocytopenia and thrombosi i...
2787          2787             2.0              0.1062  pain, inject, complet, complic, success, surge...  heparinassoci thrombocytopenia and thrombosi i...
2788          2788             2.0              0.1043  pain, inject, complet, complic, success, surge...  heparinassoci thrombocytopenia and thrombosi i...
2789          2789             5.0              0.1032  thi, review, medic, manag, literatur, import, ...  thi experi support the hypothesi that heparin ...
2790          2790             5.0              0.1032  thi, review, medic, manag, literatur, import, ...  thi experi support the hypothesi that heparin ...
2791          2791             2.0              0.0818  pain, inject, complet, complic, success, surge...  use of antiplatelet drug in the manag of hepar...
2792          2792             2.0              0.0818  pain, inject, complet, complic, success, surge...  use of antiplatelet drug in the manag of hepar...
2793          2793             0.0              0.0838  drug, syndrom, reaction, effect, associ, adver...  result a clinic diagnosi of fix drug erupt owe...
2794          2794             0.0              0.0838  drug, syndrom, reaction, effect, associ, adver...  result a clinic diagnosi of fix drug erupt owe...
2795          2795            11.0              0.1120  case, report, thi, describ, present, previous,...  even though onli a few case of thi advers even...
2796          2796            18.0              0.0984  patient, therapi, chemotherapi, treat, progres...  fatal interstiti pneumon associ with docetaxel...
2797          2797             9.0              0.0872  day, dose, administr, oral, receiv, intraven, ...  the case is present of a 72yearold man with ho...
2798          2798            14.0              0.0926  infect, transplant, blood, patient, immunosupp...  the patient present with fulmin microangiopath...
2799          2799            14.0              0.0926  infect, transplant, blood, patient, immunosupp...  the patient present with fulmin microangiopath...
2800          2800            14.0              0.0945  infect, transplant, blood, patient, immunosupp...  the patient present with fulmin microangiopath...
2801          2801            14.0              0.0887  infect, transplant, blood, patient, immunosupp...  the patient present with fulmin microangiopath...
2802          2802            13.0              0.0849  acut, renal, patient, failur, chronic, hepat, ...  thrombot thrombocytopen purpura induc by trime...
2803          2803            13.0              0.0828  acut, renal, patient, failur, chronic, hepat, ...  thrombot thrombocytopen purpura induc by trime...
2804          2804            13.0              0.0811  acut, renal, patient, failur, chronic, hepat, ...  we report a case of thrombot thrombocytopen pu...
2805          2805            13.0              0.0774  acut, renal, patient, failur, chronic, hepat, ...  we report a case of thrombot thrombocytopen pu...
2806          2806            10.0              0.0879  patient, toxic, sever, treatment, develop, res...   juvenil absenc epilepsi exacerb by valproic acid
2807          2807            11.0              0.0964  case, report, thi, describ, present, previous,...  thi report describ a case of paradox intraven ...
2808          2808            11.0              0.0894  case, report, thi, describ, present, previous,...  thi report describ a case of paradox intraven ...
2809          2809            13.0              0.0863  acut, renal, patient, failur, chronic, hepat, ...  acut endophthalm follow intravitr bevacizumab ...
2810          2810            13.0              0.0942  acut, renal, patient, failur, chronic, hepat, ...  acut endophthalm follow intravitr bevacizumab ...
2811          2811             2.0              0.0724  pain, inject, complet, complic, success, surge...  conclus infecti endophthalm is a potenti compl...
2812          2812             6.0              0.1000  show, diagnosi, reveal, biopsi, examin, cell, ...  method two patient with exud agerel macular de...
2813          2813             6.0              0.1000  show, diagnosi, reveal, biopsi, examin, cell, ...  method two patient with exud agerel macular de...
2814          2814            11.0              0.0948  case, report, thi, describ, present, previous,...  purpos to report two case of acut endophthalm ...
2815          2815             7.0              0.0776  patient, receiv, pulmonari, describ, seizur, i...  pulmonari hypertens dure lithium therapi clini...
2816          2816             7.0              0.0806  patient, receiv, pulmonari, describ, seizur, i...  the author present a case of pulmonari hyperte...
2817          2817             7.0              0.0782  patient, receiv, pulmonari, describ, seizur, i...  thi is the first report of pulmonari hypertens...
2818          2818            10.0              0.0789  patient, toxic, sever, treatment, develop, res...  the patient arthriti flare after the second in...
2819          2819            17.0              0.0949  develop, yearold, woman, present, week, man, f...  a 32yearold man with a famili histori of type ...
2820          2820            17.0              0.1011  develop, yearold, woman, present, week, man, f...  a 32yearold man with a famili histori of type ...
2821          2821            15.0              0.1066  therapi, dure, sever, occur, patient, due, tre...  the risk of newonset diabet ketoacidosi in pat...
2822          2822            18.0              0.1029  patient, therapi, chemotherapi, treat, progres...  fatal venou thrombembol complic imatinib thera...
2823          2823            18.0              0.1266  patient, therapi, chemotherapi, treat, progres...  the possibl of deep vein thrombosi caus by the...
2824          2824            18.0              0.1274  patient, therapi, chemotherapi, treat, progres...  we describ the case of a 50yearold woman with ...
2825          2825            18.0              0.1291  patient, therapi, chemotherapi, treat, progres...  we describ the case of a 50yearold woman with ...
2826          2826             9.0              0.1137  day, dose, administr, oral, receiv, intraven, ...  of particular interest in thi patient is the f...
2827          2827            11.0              0.0797  case, report, thi, describ, present, previous,...  we present a case report of a patient who deve...
2828          2828             8.0              0.1342  caus, possibl, conclus, complic, rare, suggest...  aim to present a case of piloerect after repla...
2829          2829             8.0              0.1376  caus, possibl, conclus, complic, rare, suggest...  aim to present a case of piloerect after repla...
2830          2830             8.0              0.1683  caus, possibl, conclus, complic, rare, suggest...  conclus the piloerect observ after the replac ...
2831          2831             8.0              0.1683  caus, possibl, conclus, complic, rare, suggest...  conclus the piloerect observ after the replac ...
2832          2832             8.0              0.0980  caus, possibl, conclus, complic, rare, suggest...  piloerect induc by replac fluvoxamin with miln...
2833          2833             8.0              0.1000  caus, possibl, conclus, complic, rare, suggest...  piloerect induc by replac fluvoxamin with miln...
2834          2834            15.0              0.0849  therapi, dure, sever, occur, patient, due, tre...  case present we report a patient with cf who d...
2835          2835            15.0              0.0833  therapi, dure, sever, occur, patient, due, tre...  case present we report a patient with cf who d...
2836          2836             0.0              0.0833  drug, syndrom, reaction, effect, associ, adver...  conclus hypersensit reaction should be consid ...
2837          2837             0.0              0.0816  drug, syndrom, reaction, effect, associ, adver...  conclus hypersensit reaction should be consid ...
2838          2838            15.0              0.0762  therapi, dure, sever, occur, patient, due, tre...  inhal tobramycin solutionassoci recurr eosinop...
2839          2839            15.0              0.0797  therapi, dure, sever, occur, patient, due, tre...  inhal tobramycin solutionassoci recurr eosinop...
2840          2840            15.0              0.0800  therapi, dure, sever, occur, patient, due, tre...  the most seriou dental side effect of bisphosp...
2841          2841             1.0              0.1066  disea, associ, liver, disord, abnorm, injuri, ...  advers effect of amiodaron includ pulmonari to...
2842          2842             1.0              0.0905  disea, associ, liver, disord, abnorm, injuri, ...  advers effect of amiodaron includ pulmonari to...
2843          2843             1.0              0.1030  disea, associ, liver, disord, abnorm, injuri, ...  advers effect of amiodaron includ pulmonari to...
2844          2844             1.0              0.1084  disea, associ, liver, disord, abnorm, injuri, ...  advers effect of amiodaron includ pulmonari to...
2845          2845            11.0              0.0944  case, report, thi, describ, present, previous,...  pancreat is a veri rare advers effect associ w...
2846          2846            11.0              0.0979  case, report, thi, describ, present, previous,...  pancreat is a veri rare advers effect associ w...
2847          2847             1.0              0.0757  disea, associ, liver, disord, abnorm, injuri, ...  under the suspicion of amiodaroneinduc acut pa...
2848          2848            15.0              0.0680  therapi, dure, sever, occur, patient, due, tre...  we report a patient who develop acut pancreat ...
2849          2849            11.0              0.0991  case, report, thi, describ, present, previous,...  discuss to our knowledg thi is the first repor...
2850          2850            10.0              0.1039  patient, toxic, sever, treatment, develop, res...    tubercul uveiti after treatment with etanercept
2851          2851            10.0              0.0982  patient, toxic, sever, treatment, develop, res...  we report the first case of tubercul uveiti du...
2852          2852             1.0              0.0967  disea, associ, liver, disord, abnorm, injuri, ...  a complex pattern of melanonychia and onycholy...
2853          2853             1.0              0.0987  disea, associ, liver, disord, abnorm, injuri, ...  a complex pattern of melanonychia and onycholy...
2854          2854            10.0              0.0913  patient, toxic, sever, treatment, develop, res...  infliximab and it seriou advers effect are dis...
2855          2855            10.0              0.0932  patient, toxic, sever, treatment, develop, res...  infliximab and it seriou advers effect are dis...
2856          2856            10.0              0.1160  patient, toxic, sever, treatment, develop, res...  osteomyel occur dure infliximab treatment of s...
2857          2857             0.0              0.1755  drug, syndrom, reaction, effect, associ, adver...  base on the naranjo probabl scale serotonin sy...
2858          2858             0.0              0.1790  drug, syndrom, reaction, effect, associ, adver...  base on the naranjo probabl scale serotonin sy...
2859          2859            12.0              0.2902  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2860          2860            12.0              0.3048  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2861          2861            12.0              0.2931  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2862          2862            12.0              0.2975  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2863          2863            12.0              0.2902  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2864          2864            12.0              0.2975  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2865          2865            12.0              0.2946  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2866          2866            12.0              0.2917  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2867          2867            12.0              0.2946  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2868          2868            12.0              0.2961  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2869          2869            12.0              0.2887  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2870          2870            12.0              0.2902  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2871          2871            12.0              0.3004  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2872          2872            12.0              0.2946  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2873          2873            12.0              0.3004  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2874          2874            12.0              0.2961  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2875          2875            12.0              0.2873  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2876          2876            12.0              0.3048  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2877          2877            12.0              0.2990  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2878          2878            12.0              0.2917  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2879          2879            12.0              0.2961  wa, symptom, follow, initi, discontinu, result...  case summari a 65yearold patient chronic treat...
2880          2880             8.0              0.1085  caus, possibl, conclus, complic, rare, suggest...  conclus healthcar profession should be awar of...
2881          2881            12.0              0.1070  wa, symptom, follow, initi, discontinu, result...  object to report a case of serotonin syndrom a...
2882          2882            12.0              0.1136  wa, symptom, follow, initi, discontinu, result...  object to report a case of serotonin syndrom a...
2883          2883            12.0              0.1086  wa, symptom, follow, initi, discontinu, result...  object to report a case of serotonin syndrom a...
2884          2884             0.0              0.0942  drug, syndrom, reaction, effect, associ, adver...  serotonin syndrom caus by interact between cit...
2885          2885             0.0              0.1022  drug, syndrom, reaction, effect, associ, adver...  serotonin syndrom caus by interact between cit...
2886          2886            13.0              0.0776  acut, renal, patient, failur, chronic, hepat, ...  renal failur after highdos methotrex in a chil...
2887          2887            11.0              0.0934  case, report, thi, describ, present, previous,...  we report the case of an 11yearold femal treat...
2888          2888            13.0              0.0918  acut, renal, patient, failur, chronic, hepat, ...  we report the case of an 11yearold femal treat...
2889          2889             2.0              0.0719  pain, inject, complet, complic, success, surge...  docetaxel induc meibomian duct inflamm and blo...
2890          2890             6.0              0.0833  show, diagnosi, reveal, biopsi, examin, cell, ...  docetaxelinduc meibomian duct inflamm and bloc...
2891          2891             6.0              0.0910  show, diagnosi, reveal, biopsi, examin, cell, ...  docetaxelinduc meibomian duct inflamm and bloc...
2892          2892            18.0              0.0887  patient, therapi, chemotherapi, treat, progres...  we report a 71year male with castrationresist ...
2893          2893            11.0              0.0804  case, report, thi, describ, present, previous,...  a case of recal pneumon induc by gemcitabin is...
2894          2894             7.0              0.1576  patient, receiv, pulmonari, describ, seizur, i...  after have receiv gemcitabin on day 1 of the s...
2895          2895             7.0              0.1576  patient, receiv, pulmonari, describ, seizur, i...  after have receiv gemcitabin on day 1 of the s...
2896          2896             7.0              0.1576  patient, receiv, pulmonari, describ, seizur, i...  after have receiv gemcitabin on day 1 of the s...
2897          2897             8.0              0.0851  caus, possibl, conclus, complic, rare, suggest...  conclus gemcitabineinduc recal pneumon is a ra...
2898          2898            18.0              0.0957  patient, therapi, chemotherapi, treat, progres...           radiat recal pneumon induc by gemcitabin
2899          2899             8.0              0.0929  caus, possibl, conclus, complic, rare, suggest...  conclus for all patient with vancomycininduc n...
2900          2900             9.0              0.0776  day, dose, administr, oral, receiv, intraven, ...  howev a new episod of neutropenia with a wbc c...
2901          2901            10.0              0.0917  patient, toxic, sever, treatment, develop, res...  object to report teicoplaninrel neutropenia th...
2902          2902            10.0              0.0935  patient, toxic, sever, treatment, develop, res...  object to report teicoplaninrel neutropenia th...
2903          2903             8.0              0.1025  caus, possibl, conclus, complic, rare, suggest...  teicoplanininduc agranulocytosi that follow va...
2904          2904             8.0              0.1063  caus, possibl, conclus, complic, rare, suggest...  teicoplanininduc agranulocytosi that follow va...
2905          2905            16.0              0.0750  clinic, studi, find, respon, method, signific,...  cutan ulcer an unusu complic of intraven penta...
2906          2906            14.0              0.0940  infect, transplant, blood, patient, immunosupp...  thi is a report of a renal transplant patient ...
2907          2907            14.0              0.0989  infect, transplant, blood, patient, immunosupp...  thi is a report of a renal transplant patient ...
2908          2908            13.0              0.0970  acut, renal, patient, failur, chronic, hepat, ...  observ a 48yearold woman present with disfigur...
2909          2909            17.0              0.1003  develop, yearold, woman, present, week, man, f...  observ a 48yearold woman present with disfigur...
2910          2910            18.0              0.0756  patient, therapi, chemotherapi, treat, progres...  tumorvolum increas at begin of primari treatme...
2911          2911             5.0              0.0920  thi, review, medic, manag, literatur, import, ...  flecainid overdos can rapidli result in profou...
2912          2912             5.0              0.0838  thi, review, medic, manag, literatur, import, ...  manag cardiovascular collaps in sever flecaini...
2913          2913            13.0              0.0660  acut, renal, patient, failur, chronic, hepat, ...                       ezetimibeinduc acut pancreat
2914          2914             9.0              0.0724  day, dose, administr, oral, receiv, intraven, ...  sinc it fda approv in 2002 there are no known ...
2915          2915             1.0              0.0965  disea, associ, liver, disord, abnorm, injuri, ...  select estrogen receptor modul raloxifeneassoc...
2916          2916             6.0              0.0789  show, diagnosi, reveal, biopsi, examin, cell, ...  thi is the first histolog confirm case of nash...
2917          2917             1.0              0.0880  disea, associ, liver, disord, abnorm, injuri, ...  a case of liver damag follow treatment with da...
2918          2918            18.0              0.0669  patient, therapi, chemotherapi, treat, progres...                hepat damag after danazol treatment
2919          2919             0.0              0.0879  drug, syndrom, reaction, effect, associ, adver...  hypersensit pneumonitislik syndrom associ with...
2920          2920             7.0              0.1296  patient, receiv, pulmonari, describ, seizur, i...  in thi report we describ a patient receiv lena...
2921          2921             7.0              0.1367  patient, receiv, pulmonari, describ, seizur, i...  in thi report we describ a patient receiv lena...
2922          2922             7.0              0.1490  patient, receiv, pulmonari, describ, seizur, i...  in thi report we describ a patient receiv lena...
2923          2923             7.0              0.1455  patient, receiv, pulmonari, describ, seizur, i...  in thi report we describ a patient receiv lena...
2924          2924             3.0              0.0721  patient, wa, treat, month, year, combin, time,...  physician should be cogniz of thi potenti comp...
2925          2925             8.0              0.0705  caus, possibl, conclus, complic, rare, suggest...  physician should be cogniz of thi potenti comp...
2926          2926             1.0              0.0865  disea, associ, liver, disord, abnorm, injuri, ...  thu the patient clinic cours and workup strong...
2927          2927             1.0              0.0770  disea, associ, liver, disord, abnorm, injuri, ...  intravitr triamcinolon may have had an influen...
2928          2928            17.0              0.0821  develop, yearold, woman, present, week, man, f...  a 40yearold man with advanc hiv infect and myc...
2929          2929            13.0              0.0804  acut, renal, patient, failur, chronic, hepat, ...   ethambutol toxic manifest as acut onset psychosi
2930          2930            10.0              0.0765  patient, toxic, sever, treatment, develop, res...                  psoriasi induc by interferonalpha
2931          2931            10.0              0.0774  patient, toxic, sever, treatment, develop, res...  recombin human interferonalpha ha been use in ...
2932          2932            10.0              0.0744  patient, toxic, sever, treatment, develop, res...  we report four patient three of whom first dev...
2933          2933            17.0              0.1462  develop, yearold, woman, present, week, man, f...  a 61yearold man with earli diffus cutan sclero...
2934          2934            17.0              0.1479  develop, yearold, woman, present, week, man, f...  a 61yearold man with earli diffus cutan sclero...
2935          2935            10.0              0.1586  patient, toxic, sever, treatment, develop, res...  introduct we describ the neurointens care nic ...
2936          2936            10.0              0.1683  patient, toxic, sever, treatment, develop, res...  introduct we describ the neurointens care nic ...
2937          2937            10.0              0.1554  patient, toxic, sever, treatment, develop, res...  introduct we describ the neurointens care nic ...
2938          2938            10.0              0.1618  patient, toxic, sever, treatment, develop, res...  introduct we describ the neurointens care nic ...
2939          2939            10.0              0.1028  patient, toxic, sever, treatment, develop, res...  neurointens care manag of rais intracrani pres...
2940          2940            18.0              0.0784  patient, therapi, chemotherapi, treat, progres...   bleomycin induc hyperpigment with yolk sac tumor
2941          2941             3.0              0.0679  patient, wa, treat, month, year, combin, time,...  the hyperpigment wa diffus scatter flagel like...
2942          2942             3.0              0.0863  patient, wa, treat, month, year, combin, time,...  we report a child with yolk sac tumor who deve...
2943          2943             3.0              0.0863  patient, wa, treat, month, year, combin, time,...  we report a child with yolk sac tumor who deve...
2944          2944             3.0              0.0880  patient, wa, treat, month, year, combin, time,...  we report a child with yolk sac tumor who deve...
2945          2945            12.0              0.1261  wa, symptom, follow, initi, discontinu, result...  a causeeffect relationship to capecitabin wa s...
2946          2946            18.0              0.0809  patient, therapi, chemotherapi, treat, progres...  background headach have been report as a poten...
2947          2947             7.0              0.0660  patient, receiv, pulmonari, describ, seizur, i...     capecitabineinduc headach respond to diltiazem
2948          2948             8.0              0.0818  caus, possibl, conclus, complic, rare, suggest...  ccb should be consid in the treatment of 5fu o...
2949          2949             8.0              0.0818  caus, possibl, conclus, complic, rare, suggest...  ccb should be consid in the treatment of 5fu o...
2950          2950             7.0              0.0895  patient, receiv, pulmonari, describ, seizur, i...  the patient develop grade 3 capecitabineinduc ...
2951          2951             8.0              0.0730  caus, possibl, conclus, complic, rare, suggest...  we hypothes that capecitabineinduc headach is ...
2952          2952             0.0              0.1196  drug, syndrom, reaction, effect, associ, adver...  brugada type electrocardiograph chang induc by...
2953          2953             0.0              0.1177  drug, syndrom, reaction, effect, associ, adver...  brugada type electrocardiograph chang induc by...
2954          2954             0.0              0.1232  drug, syndrom, reaction, effect, associ, adver...  we report a case of st elev in right precordi ...
2955          2955             0.0              0.1167  drug, syndrom, reaction, effect, associ, adver...  we report a case of st elev in right precordi ...
2956          2956             8.0              0.1534  caus, possibl, conclus, complic, rare, suggest...  we postul that gastriti caus by dexamethason m...
2957          2957             8.0              0.1501  caus, possibl, conclus, complic, rare, suggest...  we postul that gastriti caus by dexamethason m...
2958          2958             0.0              0.1065  drug, syndrom, reaction, effect, associ, adver...  bortezomibinduc paralyt ileu is a potenti gast...
2959          2959             0.0              0.1083  drug, syndrom, reaction, effect, associ, adver...  bortezomibinduc paralyt ileu is a potenti gast...
2960          2960             9.0              0.0676  day, dose, administr, oral, receiv, intraven, ...  paralyt ileu in patient undergo bortezomib tre...
2961          2961            15.0              0.0738  therapi, dure, sever, occur, patient, due, tre...  we report a myeloma patient who develop sever ...
2962          2962            12.0              0.0980  wa, symptom, follow, initi, discontinu, result...  a woman develop delusion parasitosi when take ...
2963          2963            12.0              0.0998  wa, symptom, follow, initi, discontinu, result...          delusion parasitosi associ with phenelzin
2964          2964            11.0              0.0876  case, report, thi, describ, present, previous,...  interstiti pneumon and alveolar hemorrhag comp...
2965          2965            11.0              0.0838  case, report, thi, describ, present, previous,...  interstiti pneumon and alveolar hemorrhag comp...
2966          2966            10.0              0.0784  patient, toxic, sever, treatment, develop, res...  the use of rituximab ha been uncommonli associ...
2967          2967             0.0              0.0872  drug, syndrom, reaction, effect, associ, adver...  fulmin metoclopramid induc neurolept malign sy...
2968          2968            17.0              0.0767  develop, yearold, woman, present, week, man, f...  we report a case of fulmin neurolept malign sy...
2969          2969            16.0              0.1311  clinic, studi, find, respon, method, signific,...  the clinic symptom of gastric mucosa foveolar ...
2970          2970            16.0              0.1222  clinic, studi, find, respon, method, signific,...  the result of the ultrasound examin combin wit...
2971          2971            13.0              0.1728  acut, renal, patient, failur, chronic, hepat, ...  a 79yearold man with ischem heart diseas chron...
2972          2972            13.0              0.1758  acut, renal, patient, failur, chronic, hepat, ...  a 79yearold man with ischem heart diseas chron...
2973          2973            13.0              0.1728  acut, renal, patient, failur, chronic, hepat, ...  a 79yearold man with ischem heart diseas chron...
2974          2974            11.0              0.0833  case, report, thi, describ, present, previous,...  a case of colchicineinduc rhabdomyolysi is report
2975          2975             8.0              0.1496  caus, possibl, conclus, complic, rare, suggest...  colchicineinduc rhabdomyolysi is a rare compli...
2976          2976             2.0              0.0673  pain, inject, complet, complic, success, surge...                      colchicineinduc rhabdomyolysi
2977          2977             6.0              0.0869  show, diagnosi, reveal, biopsi, examin, cell, ...  investig confirm the diagnosi of rhabdomyolysi...
2978          2978            18.0              0.0782  patient, therapi, chemotherapi, treat, progres...  5fluorouracil cardiotox complic treatment of s...
2979          2979             8.0              0.0784  caus, possibl, conclus, complic, rare, suggest...  conclus acet acid is corros and may caus vagin...
2980          2980            17.0              0.0982  develop, yearold, woman, present, week, man, f...  induct of system lupu erythematosu by interfer...
2981          2981             3.0              0.1263  patient, wa, treat, month, year, combin, time,...  the develop of system lupu erythematosu sle af...
2982          2982             3.0              0.1210  patient, wa, treat, month, year, combin, time,...  the develop of system lupu erythematosu sle af...
2983          2983             3.0              0.1228  patient, wa, treat, month, year, combin, time,...  the develop of system lupu erythematosu sle af...
2984          2984             3.0              0.1138  patient, wa, treat, month, year, combin, time,...  the develop of system lupu erythematosu sle af...
2985          2985             3.0              0.0645  patient, wa, treat, month, year, combin, time,...  we assum that rifngamma induc the de novo deve...
2986          2986            18.0              0.0980  patient, therapi, chemotherapi, treat, progres...  bisphosphon induc osteochemonecrosi of the jaw...
2987          2987            12.0              0.0895  wa, symptom, follow, initi, discontinu, result...  clozapineinduc eosinophilia and switch to quet...
2988          2988             0.0              0.0758  drug, syndrom, reaction, effect, associ, adver...  druginduc eosinophilia is a nondosedepend side...
2989          2989            12.0              0.0738  wa, symptom, follow, initi, discontinu, result...  occasion despit good therapeut respons clozapi...
2990          2990            13.0              0.1285  acut, renal, patient, failur, chronic, hepat, ...  metforminassoci lactic acidosi mala is a serio...
2991          2991            13.0              0.1186  acut, renal, patient, failur, chronic, hepat, ...  metforminassoci lactic acidosi mala is a serio...
2992          2992            15.0              0.0730  therapi, dure, sever, occur, patient, due, tre...  metforminassoci lactic acidosi precipit by dia...
2993          2993            14.0              0.1375  infect, transplant, blood, patient, immunosupp...  an appar link is describ between the use of mm...
2994          2994            14.0              0.1357  infect, transplant, blood, patient, immunosupp...  an appar link is describ between the use of mm...
2995          2995            14.0              0.1403  infect, transplant, blood, patient, immunosupp...  red blood cell anemia in a patient with pemphi...
2996          2996            14.0              0.1384  infect, transplant, blood, patient, immunosupp...  red blood cell anemia in a patient with pemphi...
2997          2997            14.0              0.0769  infect, transplant, blood, patient, immunosupp...  the dermatolog literatur heretofor ha not note...
2998          2998            14.0              0.1413  infect, transplant, blood, patient, immunosupp...  thi report suggest that anemia can occur due t...
2999          2999            14.0              0.1397  infect, transplant, blood, patient, immunosupp...  thi report suggest that anemia can occur due t...
3000          3000            14.0              0.1348  infect, transplant, blood, patient, immunosupp...  thi report suggest that anemia can occur due t...
3001          3001            14.0              0.1413  infect, transplant, blood, patient, immunosupp...  thi report suggest that anemia can occur due t...
3002          3002            14.0              0.1381  infect, transplant, blood, patient, immunosupp...  thi report suggest that anemia can occur due t...
3003          3003             3.0              0.0918  patient, wa, treat, month, year, combin, time,...  a search of the unit state food and drug admin...
3004          3004            11.0              0.0809  case, report, thi, describ, present, previous,...  clinic profil of oxcarbazepinerel angioneurot ...
3005          3005            17.0              0.0937  develop, yearold, woman, present, week, man, f...  oxcarbazepineassoci angioedema manifest by swe...
3006          3006            11.0              0.1011  case, report, thi, describ, present, previous,...  we describ in detail the first us case report ...
3007          3007             8.0              0.0913  caus, possibl, conclus, complic, rare, suggest...  here we describ anoth case of vod occur after ...
3008          3008            14.0              0.0954  infect, transplant, blood, patient, immunosupp...  one case of tacrolimusinduc hepat vod develop ...
3009          3009             0.0              0.0843  drug, syndrom, reaction, effect, associ, adver...  carbamazepin hypersensit syndrom is a rare lif...
3010          3010            10.0              0.0815  patient, toxic, sever, treatment, develop, res...  a patient with chronic myelomonocyt leukemia d...
3011          3011             8.0              0.1311  caus, possibl, conclus, complic, rare, suggest...  becaus etoposideinduc pulmonari toxic is an un...
3012          3012             6.0              0.0636  show, diagnosi, reveal, biopsi, examin, cell, ...  pet scintigraphi of etoposideinduc pulmonari t...
3013          3013             6.0              0.0965  show, diagnosi, reveal, biopsi, examin, cell, ...  detect of antineutrophil cytoplasm antibodi in...
3014          3014            10.0              0.0713  patient, toxic, sever, treatment, develop, res...  the center for diseas control ha receiv numer ...
3015          3015             1.0              0.1121  disea, associ, liver, disord, abnorm, injuri, ...  here we report a case of rfpinduc hypothyroid ...
3016          3016             1.0              0.0960  disea, associ, liver, disord, abnorm, injuri, ...  rifampininduc hypothyroid without underli thyr...
3017          3017             1.0              0.1173  disea, associ, liver, disord, abnorm, injuri, ...  rifampin rfp increas hepat microsom enzym acti...
3018          3018             1.0              0.1138  disea, associ, liver, disord, abnorm, injuri, ...  rifampin rfp increas hepat microsom enzym acti...
3019          3019             1.0              0.1173  disea, associ, liver, disord, abnorm, injuri, ...  rifampin rfp increas hepat microsom enzym acti...
3020          3020             1.0              0.1155  disea, associ, liver, disord, abnorm, injuri, ...  rifampin rfp increas hepat microsom enzym acti...
3021          3021            13.0              0.0833  acut, renal, patient, failur, chronic, hepat, ...  a patient is describ who develop a rapid onset...
3022          3022             1.0              0.0730  disea, associ, liver, disord, abnorm, injuri, ...            pulmonari fibrosi associ with nabumeton
3023          3023             8.0              0.0795  caus, possibl, conclus, complic, rare, suggest...  cyclosporin is a potent inhibitor of simvastat...
3024          3024             8.0              0.0795  caus, possibl, conclus, complic, rare, suggest...  cyclosporin is a potent inhibitor of simvastat...
3025          3025            13.0              0.0913  acut, renal, patient, failur, chronic, hepat, ...  discontinu of simvastatin and cyclosporin resu...
